?,L2,L,U2,U,I2,I,R,Word,UKPhonetics,USPhonetics,Paraphrase,
0,07,06,04,3,10,9,0.022962712,disavow,[ˌdɪsəˈvaʊ],[ˌdɪsəˈvaʊ],拒绝承认，否认,
0,07,06,05,4,01,0,0.787075278,discern,[dɪˈsɜːn],[dɪˈsɜːn],识别，辨别差异,
0,07,06,05,4,02,1,0.604475609,discharge,[dɪsˈtʃɑːdʒ],[dɪsˈtʃɑrdʒ],解雇；释放,
0,07,06,05,4,03,2,0.870897661,disciple,[dɪˈsaɪp(ə)l],[dɪˈsaɪpl],信徒，追随者,
0,07,06,05,4,04,3,0.870303869,discombobulate,[ˌdɪskəmˈbɒbjʊleɪt],[ˌdɪskəmˈbɑbjəˌlet],使不安，使混乱,
0,07,06,05,4,05,4,0.322464246,discomfit,[dɪsˈkʌmfɪt],[dɪsˈkʌmfɪt],使尴尬；阻碍,
0,07,06,05,4,06,5,0.965595622,discommode,[ˌdɪskəˈməʊd],[ˌdɪskəˈmoʊd],打扰，使不便,
0,07,06,05,4,07,6,0.417485727,discompose,[ˌdɪskəmˈpəʊz],[ˌdɪskəmˈpoʊz],使不安；使混乱,
0,07,06,05,4,08,7,0.24344745,disconcert,[ˌdɪskənˈsɜːt],[ˌdɪskənˈsɜːrt],使不安,
0,07,06,05,4,09,8,0.428302454,discord,[ˈdɪskɔːd],[ˈdɪskɔrd],意见不一致，不和谐,
0,07,06,05,4,10,9,0.518755344,discredit,[dɪsˈkredɪt],[dɪsˈkrɛdɪt],羞耻，使丧失名誉；怀疑，不相信,
0,07,06,06,5,01,0,0.813262481,discrepancy,[dɪsˈkrep(ə)nsɪ],[dɪsˈkrɛpənsi],(在事实和宣称之间的)差异或矛盾,
0,07,06,06,5,02,1,0.688520092,discrete,[dɪˈskriːt],[dɪˈskrit],离散的，不连续的,
0,07,06,06,5,03,2,0.207583237,discretion,[dɪˈskreʃ(ə)n],[dɪˈskrɛʃən],谨慎；自制，节制,
0,07,06,06,5,04,3,0.722435826,discretionary,[dɪˈskreʃ(ə)n(ə)rɪ],[dɪˈskrɛʃəˈnɛri],自主决定的,
0,07,06,06,5,05,4,0.907662612,discriminate,[dɪˈskrɪmɪneɪt],[dɪˈskrɪmɪnet],区分；歧视,
0,07,06,06,5,06,5,0.984458543,discursive,[dɪsˈkɜːsɪv],[dɪsˈkɜːrsɪv],(谈话内容)杂乱的,
0,07,06,06,5,07,6,0.970372919,disdain,[dɪsˈdeɪn],[dɪsˈden],轻视，鄙视,
0,07,06,06,5,08,7,0.51908141,disengage,[ˌdɪsɪnˈɡeɪdʒ],[ˌdɪsɪnˈɡeɪdʒ],分开，使脱离,
0,07,06,06,5,09,8,0.983818758,disgorge,[dɪsˈɡɔːdʒ],[dɪsˈɡɔːrdʒ],呕吐出,
0,07,06,06,5,10,9,0.356981996,disgruntle,[dɪsˈgrʌntl],[dɪsˈgrʌntəl],使发怒，使不满意,
0,07,06,07,6,01,0,0.271473084,dignified,[ˈdɪɡnɪfaɪd],[ˈdɪɡnɪfaɪd],高贵庄严的,
0,07,06,07,6,02,1,0.06913659,disinclination,[ˌdɪsɪnklɪˈneɪʃ(ə)n],[ˌdɪsˌɪnklɪˈneʃən],不喜欢，厌恶，不情愿,
0,07,06,07,6,03,2,0.01022393,disinfect,[ˌdɪsɪnˈfekt],[ˌdɪsɪnˈfekt],消毒，使无菌,
0,07,06,07,6,04,3,0.062523668,disjointed,[dɪsˈdʒɔɪntɪd],[dɪsˈdʒɔɪntɪd],不连贯的,
0,07,06,07,6,05,4,0.018365357,disinter,[ˌdɪsɪnˈtɜː(r)],[ˌdɪsɪnˈtɜːr],(从墓地里)掘出,
0,07,06,07,6,06,5,0.88574032,disinterested,[dɪsˈɪnt(ə)rɪstɪd],[dɪsˈɪntərɪsɪd],公正的，无偏见的,
0,07,06,07,6,07,6,0.223161267,disjunctive,[dɪsˈdʒʌŋktɪv],[dɪsˈdʒʌŋktɪv],分离的,
0,07,06,07,6,08,7,0.46213129,dismantle,[dɪsˈmænt(ə)l],[dɪsˈmæntl],分解，分拆,
0,07,06,07,6,09,8,0.54268906,dismay,[dɪsˈmeɪ],[dɪsˈme],使失去勇气；使不安，使焦虑,
0,07,06,07,6,10,9,0.346066109,disparage,[dɪˈspærɪdʒ],[dɪˈspærɪdʒ],贬低；轻蔑地说,
0,07,06,08,7,01,0,0.332623817,disparate,[ˈdɪsp(ə)rət],[ˈdɪspərət],迥然不同的,
0,07,06,08,7,02,1,0.33494755,dispassionate,[dɪsˈpæʃ(ə)nət],[dɪsˈpæʃənət],客观公正的，不易被情绪或偏见影响的,
0,07,06,08,7,03,2,0.748927488,dispatch,[dɪˈspætʃ],[dɪˈspætʃ],迅速；发送，派遣,
0,07,06,08,7,04,3,0.607003813,dispose,[dɪˈspəʊz],[dɪˈspoz],使倾向于；处理掉(与of连用，disposeof),
0,07,06,08,7,05,4,0.274957168,disregard,[dɪsrɪˈgɑːd],[ˌdɪsrɪˈɡɑrd],漠视，不关注；缺乏兴趣，缺乏关心,
0,07,06,08,7,06,5,0.512449084,dissect,[dɪˈsekt],[dɪˈsekt],仔细分析,
0,07,06,08,7,07,6,0.488713846,dissemble,[dɪˈsembl],[dɪˈsembl],用假象隐藏真相，掩饰,
0,07,06,08,7,08,7,0.182294888,disseminate,[dɪˈsemɪneɪt],[dɪˈsɛmɪnet],散播，传播,
0,07,06,08,7,09,8,0.710150814,dissension,[dɪˈsenʃn],[dɪˈsenʃn],意见不合,
0,07,06,08,7,10,9,0.456652186,dissent,[dɪˈsent],[dɪˈsɛnt],持异议，不同意；反对正统,
0,07,06,09,8,01,0,0.849843567,dissipate,[ˈdɪsɪpeɪt],[ˈdɪsɪpet],驱散；浪费,
0,07,06,09,8,02,1,0.254462495,dissolute,[ˈdɪsəluːt],[ˈdɪsəluːt],放荡的，无节制的,
0,07,06,09,8,03,2,0.469603955,dissolve,[dɪˈzɒlv],[dɪˈzɑlv],溶解，融化；解散,
0,07,06,09,8,04,3,0.019590923,dissonance,[ˈdɪsənəns],[ˈdɪsənəns],(音调)不和谐，刺身；不一致，分歧,
0,07,06,09,8,05,4,0.406671779,dissuade,[dɪˈsweɪd],[dɪˈswed],劝阻，反对,
0,07,06,09,8,06,5,0.355617809,distain,[dɪˈsteɪn],[dɪˈsteɪn],贬损，伤害(某人的)名誉,
0,07,06,09,8,07,6,0.957852075,distal,[ˈdɪstl],[ˈdɪstl],远离中心的，(神经)末梢的,
0,07,06,09,8,08,7,0.503586995,distend,[dɪˈstend],[dɪˈstend],(使)膨胀,
0,07,06,09,8,09,8,0.341394046,distill,[dɪsˈtɪl],[dɪsˈtɪl],对...用蒸馏法提高纯度,
0,07,06,09,8,10,9,0.825153336,distort,[dɪˈstɔːt],[dɪˈstɔrt],扭曲，歪曲,
0,07,06,10,9,01,0,0.998536401,distract,[dɪˈstrækt],[dɪˈstrækt],转移(注意力)，使分心,
0,07,06,10,9,02,1,0.242776218,distraught,[dɪˈstrɔːt],[dɪˈstrɔt],精神狂乱的，极疯狂的,
0,07,06,10,9,03,2,0.438810387,diurnal,[daɪˈɜːnl],[daɪˈɜːrnl],白天发生或行动的,
0,07,06,10,9,04,3,0.487712533,diverge,[daɪˈvɜːdʒ],[daɪˈvɜːdʒ],(使)分叉，散开；分歧,
0,07,06,10,9,05,4,0.991918242,diversity,[daɪˈvɜːsɪtɪ],[dɪˈvəsɪti],多样性,
0,07,06,10,9,06,5,0.307376319,divert,[daɪˈvɜːt],[dɪˈvət],使转向；使消遣,
0,07,06,10,9,07,6,0.715631466,divestiture,[daɪˈvestɪtʃə],[dəˈvestətʃə],剥夺,
0,07,06,10,9,08,7,0.230927676,divulge,[daɪˈvʌldʒ],[daɪˈvʌldʒ],泄露(秘密),
0,07,06,10,9,09,8,0.975865198,dodder,[ˈdɒdə],[ˈdɒdə],蹒跚，颤巍巍地行进,
0,07,06,10,9,10,9,0.552411356,dodge,[dɒdʒ],[dɑdʒ],躲避,
0,08,07,01,0,01,0,0.819367952,doff,[dɒf],[dɑf],脱下,
0,08,07,01,0,02,1,0.168523233,dogged,[ˈdɒgɪd],[ˈdɔɡɪd],固执的，任性的,
0,08,07,01,0,03,2,0.010959929,dogmatic,[dɒɡˈmætɪk],[dɔːɡˈmætɪk],武断的，自以为是的,
0,08,07,01,0,04,3,0.660806412,doldrums,[ˈdɒldrəmz],[ˈdoldrəmz],低迷，中断,
0,08,07,01,0,05,4,0.574447596,dolorous,[ˈdɒlərəs],[ˈdoʊlərəs],忧伤的,
0,08,07,01,0,06,5,0.561911292,dolt,[dəʊlt],[doʊlt],笨蛋,
0,08,07,01,0,07,6,0.004622718,domicile,[ˈdɒmɪsaɪl],[ˈdɑːmɪsaɪl],为...提供住处,
0,08,07,01,0,08,7,0.065148191,dominant,[ˈdɒmɪnənt],[ˈdɑmɪnənt],处于支配地位的；(基因)显性的,
0,08,07,01,0,09,8,0.543512565,don,[dɒn],[dɑːn],穿上,
0,08,07,01,0,10,9,0.398491027,donor,[ˈdəʊnə],[ˈdonə],捐赠人，给体,
0,08,07,02,1,01,0,0.712601527,doodle,[ˈduːd(ə)l],[ˈdudl],(无目的)地乱涂乱画；漫无目的地打发时光,
0,08,07,02,1,02,1,0.170698861,dormant,[ˈdɔːm(ə)nt],[ˈdɔrmənt],静止的，不活跃的,
0,08,07,02,1,03,2,0.970269013,dour,[ˈdʊə],[ˈdaʊr],严厉的,
0,08,07,02,1,04,3,0.944355134,douse,[daʊs],[daʊs],熄灭,
0,08,07,02,1,05,4,0.025860559,downplay,[daʊnˈpleɪ],[ˌdaʊnˈple],轻描淡写，不予重视,
0,08,07,02,1,06,5,0.586847282,doom,[duːm],[dʊm],注定(倒霉),
0,08,07,02,1,07,6,0.977671404,doyen,[ˈdɔɪən],[ˈdɔɪən],有经验的人，资深人士，老司机,
0,08,07,02,1,08,7,0.140268697,doze,[dəʊz],[doz],小憩,
0,08,07,02,1,09,8,0.124455513,draconian,[drəˈkəʊniən],[drəˈkoʊniən],极其残酷的；十分严厉的,
0,08,07,02,1,10,9,0.805239288,drawl,[drɔːl],[drɔl],慢吞吞地说,
0,08,07,03,2,01,0,0.526547639,dreary,[ˈdrɪərɪ],[ˈdrɪri],单调乏味的,
0,08,07,03,2,02,1,0.264389414,drench,[dren(t)ʃ],[drɛntʃ],使湿透，浸透,
0,08,07,03,2,03,2,0.737513669,drivel,[ˈdrɪv(ə)l],[ˈdrɪvl],胡言乱语；胡言乱语，说傻话,
0,08,07,03,2,04,3,0.345220514,diminutive,[dɪˈmɪnjʊtɪv],[dɪˈmɪnjətɪv],极小的,
0,08,07,03,2,05,4,0.494279368,drollness,[dˈrəʊlnes],[dˈrəʊlnes],搞笑，逗逼,
0,08,07,03,2,06,5,0.776610458,drone,[drəʊn],[dron],低沉单调地说；嗡嗡地叫,
0,08,07,03,2,07,6,0.493819679,drudgery,[ˈdrʌdʒərɪ],[ˈdrʌdʒəri],苦工；单调、卑贱或无趣的工作,
0,08,07,03,2,08,7,0.612131641,dubious,[ˈdjuːbɪəs],[ˈdubɪəs],充满不定性的，值得怀疑的,
0,08,07,03,2,09,8,0.412860509,ductile,[ˈdʌktaɪl],[ˈdʌktaɪl],易受影响的,
0,08,07,03,2,10,9,0.316349474,dulcet,[ˈdʌlsɪt],[ˈdʌlsɪt],悦耳的，令人愉悦的,
0,08,07,04,3,01,0,0.132493134,dullard,[ˈdʌlɑːd],[ˈdʌlɑːrd],笨蛋,
0,08,07,04,3,02,1,0.630830242,dupe,[djuːp],[duːp],易受骗的人；欺骗,
0,08,07,04,3,03,2,0.300202109,duplicitous,[djuːˈplɪsɪtəs],[djuːˈplɪsɪtəs],两面派的，奸诈的,
0,08,07,04,3,04,3,0.974680279,dwindle,[ˈdwɪnd(ə)l],[ˈdwɪndl],逐渐减少,
0,08,07,04,3,05,4,0.364695765,dyspeptic,[dɪsˈpeptɪk],[dɪsˈpeptɪk],脾气坏的,
0,08,07,04,3,06,5,0.624491532,earnest,[ˈɜːnɪst],[ˈɜːrnɪst],严肃认真的,
0,08,07,04,3,07,6,0.574291568,embryonic,[ˌembriˈɒnɪk],[ˌembriˈɑːnɪk],初期的，萌芽阶段的,
0,08,07,04,3,08,7,0.875500073,earsplitting,[ˈɪəˌsplɪtɪŋ],[ˈɪəˌsplɪtɪŋ],震耳欲聋的,
0,08,07,04,3,09,8,0.604885075,eavesdrop,[ˈiːvzdrɒp],[ˈivzdrɑp],偷听,
0,08,07,04,3,10,9,0.388821019,ebullient,[ɪˈbʌliənt],[ɪˈbʌliənt],热情奔放的,
0,08,07,05,4,01,0,0.831289409,eccentric,[ɪkˈsentrɪk],[ɪkˈsɛntrɪk],行为出格的，不循规蹈矩的,
0,08,07,05,4,02,1,0.293903414,éclat,[eɪˈklaː],[eɪˈklaː],辉煌成就,
0,08,07,05,4,03,2,0.337053177,eclipse,[ɪˈklɪps],[ɪˈklɪps],使声望下降，使黯然失色,
0,08,07,05,4,04,3,0.623382609,ecstasy,[ˈekstəsɪ],[ˈɛkstəsi],狂喜,
0,08,07,05,4,05,4,0.407488048,ecumenical,[ˌiːkjuːˈmenɪkl],[ˌiːkjuːˈmenɪkl],世界范围的，普遍性的,
0,08,07,05,4,06,5,0.053029996,edible,[ˈedɪb(ə)l],[ˈɛdəbl],可食用的,
0,08,07,05,4,07,6,0.193804024,edifice,[ˈedɪfɪs],[ˈɛdɪfɪs],大厦；大建筑物；基础，基本结构,
0,08,07,05,4,08,7,0.422417305,efface,[ɪˈfeɪs],[ɪˈfes],擦掉，抹去；使不明显,
0,08,07,05,4,09,8,0.325125647,effervesce,[ˌefəˈves],[ˌefəˈves],兴奋，热情洋溢,
0,08,07,05,4,10,9,0.859862589,effete,[ɪˈfiːt],[ɪˈfit],衰弱的，衰落的,
0,08,07,06,5,01,0,0.995057678,effluvium,[eˈfluːvɪəm],[eˈfluːvɪəm],难闻的气味,
0,08,07,06,5,02,1,0.607419222,effrontery,[ɪˈfrʌntəri],[ɪˈfrʌntəri],厚颜无耻，放肆大胆,
0,08,07,06,5,03,2,0.294437767,effulgent,[ɪˈfʌldʒənt],[ɪˈfʌldʒənt],光辉灿烂的,
0,08,07,06,5,04,3,0.642158643,effusive,[ɪˈfjuːsɪv],[ɪˈfjusɪv],感情泛滥的/溢于言表的；感情表达不节制的/过度的；过分多情的,
0,08,07,06,5,05,4,0.051413893,egalitarian,[ɪˌgælɪˈteərɪən],[ɪˈgæləˈtɛrɪən],平等主义的,
0,08,07,06,5,06,5,0.247264759,egoistic,[ˌeɡəʊˈɪstɪk],[ˌeɡoʊˈɪstɪk],利己的，以自我为中心的,
0,08,07,06,5,07,6,0.306325179,elaborate,[ɪˈlæb(ə)rət],[ɪˈlæbəret],详细的，复杂的；详细阐述,
0,08,07,06,5,08,7,0.894934053,elastic,[ɪˈlæstɪk],[ɪˈlæstɪk],有弹性的；能(迅速从伤痛中)恢复的,
0,08,07,06,5,09,8,0.623035447,elate,[ɪˈleɪt],[ɪˈleɪt],使开心，使自豪,
0,08,07,06,5,10,9,0.794795997,eleemosynary,[ˌeliːˈmɒsɪnərɪ],[ˌeləˈmɒsənˌerɪ],慈善的,
0,08,07,07,6,01,0,0.031225783,elegy,[ˈelɪdʒɪ],[ˈɛlədʒi],哀歌(诗)，挽歌(诗),
0,08,07,07,6,02,1,0.552222548,elephantine,[ˌelɪˈfæntaɪn],[ˌelɪˈfæntiːn],巨大的；笨拙的,
0,08,07,07,6,03,2,0.967474358,elevate,[ˈelɪveɪt],[ˈɛlɪvet],(在道德、智力、文化水平上)提升；使兴奋,
0,08,07,07,6,04,3,0.609262505,elicit,[ɪˈlɪsɪt],[ɪˈlɪsɪt],激起，唤起,
0,08,07,07,6,05,4,0.441188881,elliptical,[ɪˈlɪptɪkl],[ɪˈlɪptɪkl],含糊不清的；椭圆的,
0,08,07,07,6,06,5,0.388358547,elucidate,[iˈluːsɪdeɪt],[iˈluːsɪdeɪt],阐明,
0,08,07,07,6,07,6,0.021048819,emaciate,[ɪˈmeɪʃɪeɪt],[ɪˈmeɪʃɪˌeɪt],削弱,
0,08,07,07,6,08,7,0.81868147,emancipate,[ɪˈmænsɪpeɪt],[ɪˈmænsɪpeɪt],解放，解除束缚,
0,08,07,07,6,09,8,0.935727137,embargo,[ɪmˈbɑːɡəʊ],[ɪmˈbɑːrɡoʊ],贸易禁止令,
0,08,07,07,6,10,9,0.755083319,embark,[ɪmˈbɑːk],[ɪmˈbɑrk],开始从事,
0,08,07,08,7,01,0,0.916262616,embarrass,[ɪmˈbærəs],[ɪmˈbærəs],使尴尬,
0,08,07,08,7,02,1,0.608794517,embed,[ɪmˈbed],[ɪmˈbɛd],嵌入,
0,08,07,08,7,03,2,0.012284738,embezzle,[ɪmˈbezl],[ɪmˈbezl],盗用,
0,08,07,08,7,04,3,0.245605442,embolden,[ɪmˈbəʊldən],[ɪmˈboʊldən],鼓励，使大胆,
0,08,07,08,7,05,4,0.662643998,emboss,[ɪmˈbɒs],[ɪmˈbɔːs],装饰,
0,08,07,08,7,06,5,0.969716689,embrace,[ɪmˈbreɪs],[ɪmˈbres],乐于接受,
0,08,07,08,7,07,6,0.131644,embroider,[ɪmˈbrɔɪdə(r)],[ɪmˈbrɔɪdər],(时常伴有夸张和想象内容地)详细说明,
0,08,07,08,7,08,7,0.01990307,emigrate,[ˈemɪgreɪt],[ˈɛmɪɡret],移民，移居海外,
0,08,07,08,7,09,8,0.444829014,eminent,[ˈemɪnənt],[ˈɛmɪnənt],杰出,
0,08,07,08,7,10,9,0.078599903,emollient,[iˈmɒliənt],[iˈmɑːliənt],起缓和作用的,
0,08,07,09,8,01,0,0.549642679,emulate,[ˈemjʊleɪt],[ˈɛmjulet],效仿,
0,08,07,09,8,02,1,0.059988803,enact,[ɪˈnækt],[ɪˈnækt],制定或颁布(法律),
0,08,07,09,8,03,2,0.068480966,enamel,[ɪˈnæm(ə)l],[ɪˈnæml],装饰,
0,08,07,09,8,04,3,0.887006749,encomium,[enˈkəʊmiəm],[enˈkoʊmiəm],赞颂之词,
0,08,07,09,8,05,4,0.000362277,encompass,[ɪnˈkʌmpəs],[ɪnˈkʌmpəs],组成，包含,
0,08,07,09,8,06,5,0.223506489,encumber,[ɪnˈkʌmbə],[ɪnˈkʌmbə],阻碍，妨碍,
0,08,07,09,8,07,6,0.727877037,endemic,[enˈdemɪk],[ɛnˈdɛmɪk],地方性的,
0,08,07,09,8,08,7,0.683846112,endorse,[ɪnˈdɔːs],[ɪnˈdɔrs],公开支持,
0,08,07,09,8,09,8,0.455156879,enervate,[ˈenəveɪt],[ˈɛnəvet],使衰弱,
0,08,07,09,8,10,9,0.006453575,enfranchise,[ɪnˈfræntʃaɪz],[ɪnˈfræntʃaɪz],给予...权力(例如选举权)；解放,
0,08,07,10,9,01,0,0.122620588,engender,[ɪnˈdʒendə],[ɪnˈdʒɛndə],引起，使发展,
0,08,07,10,9,02,1,0.6164416,engross,[ɪnˈgrəʊs],[ɪnˈɡros],使全神贯注,
0,08,07,10,9,03,2,0.960469466,enigma,[ɪˈnɪgmə],[ɪˈnɪgmə],难以理解或解释的事物，谜,
0,08,07,10,9,04,3,0.594438463,enlighten,[ɪnˈlaɪt(ə)n],[ɪnˈlaɪtn],使知道，启发,
0,08,07,10,9,05,4,0.541468795,enmity,[ˈenməti],[ˈenməti],敌意,
0,08,07,10,9,06,5,0.358824996,ennoble,[ɪˈnəʊbl],[ɪˈnoʊbl],使尊贵,
0,08,07,10,9,07,6,0.646230021,ennui,[ɒnˈwiː],[ɑːnˈwiː],倦怠；缺乏兴趣,
0,08,07,10,9,08,7,0.530296041,expostulate,[ɪkˈspɒstʃuleɪt],[ɪkˈspɑːstʃuleɪt],争论，辩驳,
0,08,07,10,9,09,8,0.436337898,ensconce,[ɪnˈskɒns],[ɪnˈskɑːns],隐藏,
0,08,07,10,9,10,9,0.117202873,ensue,[ɪnˈsjuː],[ɪnˈsu],紧随其后,
0,09,08,01,0,01,0,0.356115047,entangle,[ɪnˈtæŋɡl],[ɪnˈtæŋɡl],使变复杂或困难,
0,09,08,01,0,02,1,0.850618676,episodic,[ˌepɪˈsɒdɪk],[ˌepɪˈsɑːdɪk],片段的，断断续续的,
0,09,08,01,0,03,2,0.887422498,entice,[ɪnˈtaɪs],[ɪnˈtaɪs],诱使,
0,09,08,01,0,04,3,0.596234171,entrance,[ˈentr(ə)ns],[ˈɛntrəns],使入迷,
0,09,08,01,0,05,4,0.057990607,entrap,[ɪnˈtræp],[ɪnˈtræp],诱骗,
0,09,08,01,0,06,5,0.578807232,entreat,[ɪnˈtriːt],[ɪnˈtriːt],恳求,
0,09,08,01,0,07,6,0.617433583,enunciate,[ɪˈnʌnsɪeɪt],[ɪˈnʌnsɪet],清晰地说；公开宣布，宣称,
0,09,08,01,0,08,7,0.621486388,ephemeral,[ɪˈfem(ə)r(ə)l],[əˈfɛmərəl],短暂的,
0,09,08,01,0,09,8,0.239034131,epic,[ˈepɪk],[ˈɛpɪk],宏大的，超凡脱俗的,
0,09,08,01,0,10,9,0.544584219,epicure,[ˈepɪkjʊə(r)],[ˈepɪkjʊr],美食家,
0,09,08,02,1,01,0,0.097376179,epigram,[ˈepɪɡræm],[ˈepɪɡræm],机智的短诗，警句,
0,09,08,02,1,02,1,0.470194113,epilogue,[ˈepɪlɒg],[ˈɛpɪlɔɡ],文学作品的结局,
0,09,08,02,1,03,2,0.177139105,epithet,[ˈepɪθet],[ˈɛpɪθɛt],外号，绰号,
0,09,08,02,1,04,3,0.200228101,epitomize,[ɪˈpɪtəmaɪz],[ɪˈpɪtəmaɪz],代表，体现，是...的典型范例,
0,09,08,02,1,05,4,0.006901485,equable,[ˈekwəb(ə)l],[ˈɛkwəbl],(脾气、性情)温和的,
0,09,08,02,1,06,5,0.444042947,equity,[ˈekwɪtɪ],[ˈɛkwəti],不偏不倚，公平,
0,09,08,02,1,07,6,0.979069527,equivalent,[ɪˈkwɪv(ə)l(ə)nt],[ɪˈkwɪvələnt],等价的，相等的,
0,09,08,02,1,08,7,0.680466661,equivocate,[ɪˈkwɪvəkeɪt],[ɪˈkwɪvəkeɪt],(带有欺骗目的地)模棱两可地说，说谎话,
0,09,08,02,1,09,8,0.921963126,empirical,[emˈpɪrɪk(ə)l],[ɪmˈpɪrɪkl],基于观察、实验的,
0,09,08,02,1,10,9,0.780050403,errant,[ˈer(ə)nt],[ˈɛrənt],误入歧途的，犯错误的,
0,09,08,03,2,01,0,0.763866642,erratic,[ɪˈrætɪk],[ɪˈrætɪk],善变的,
0,09,08,03,2,02,1,0.232402594,erudite,[ˈerʊdaɪt],[ˈɛrudaɪt],博学的,
0,09,08,03,2,03,2,0.743041777,escalate,[ˈeskəleɪt],[ˈɛskəlet],(使)(战争等)升级，扩大,
0,09,08,03,2,04,3,0.952955818,eschew,[ɪsˈtʃuː],[ɪsˈtʃuː],刻意避开；戒绝,
0,09,08,03,2,05,4,0.20294874,esoteric,[ˌesəˈterɪk],[ˌesəˈterɪk],深奥难懂的,
0,09,08,03,2,06,5,0.203730084,espouse,[ɪˈspaʊz],[ɪˈspaʊz],支持；拥护,
0,09,08,03,2,07,6,0.667798261,esteem,[ɪˈstiːm],[ɪˈstim],尊重,
0,09,08,03,2,08,7,0.635051494,estimable,[ˈestɪməbl],[ˈestɪməbl],值得尊敬的,
0,09,08,03,2,09,8,0.306749368,estrange,[ɪsˈtreɪndʒ],[əˈstreɪndʒ],使疏远，离间，使感情失和,
0,09,08,03,2,10,9,0.424566617,etch,[etʃ],[etʃ],留下深刻印象，铭记,
0,09,08,04,3,01,0,0.08448439,eternal,[ɪˈtɜːn(ə)l],[ɪˈtɜːnl],永恒的,
0,09,08,04,3,02,1,0.375958463,ethereal,[iˈθɪəriəl],[iˈθɪriəl],轻巧精致的；非物质的，精神(上)的,
0,09,08,04,3,03,2,0.746027094,ethics,[ˈeθɪks],[‘ɛθɪks],道德规范,
0,09,08,04,3,04,3,0.26304942,eulogize,[ˈjuːlədʒaɪz],[ˈjʊləˈdʒaɪz],称赞，颂扬,
0,09,08,04,3,05,4,0.989117002,euphemism,[ˈjuːfəmɪzəm],[ˈjuːfəmɪzəm],婉言，委婉的说法,
0,09,08,04,3,06,5,0.852271027,euphonious,[juːˈfəʊniəs],[juːˈfoʊniəs],悦耳的,
0,09,08,04,3,07,6,0.912396055,euphoria,[juːˈfɔːriə],[juːˈfɔːriə],感觉极其愉快,
0,09,08,04,3,08,7,0.305557543,evacuate,[ɪˈvækjʊeɪt],[ɪˈvækjuet],撤离,
0,09,08,04,3,09,8,0.680725623,evanescent,[ˌiːvəˈnesnt],[ˌevəˈnesnt],逐渐消失的，短暂的,
0,09,08,04,3,10,9,0.214574874,entail,[ɪnˈteɪl],[ɪnˈtel],牵连；导致,
0,09,08,05,4,01,0,0.536956517,everlasting,[evəˈlɑːstɪŋ],[ˌɛvəˈlæstɪŋ],永恒的，持久的,
0,09,08,05,4,02,1,0.971442488,evict,[ɪˈvɪkt],[ɪˈvɪkt],赶出，逐出,
0,09,08,05,4,03,2,0.414043147,evince,[ɪˈvɪns],[ɪˈvɪns],表明,
0,09,08,05,4,04,3,0.606221788,evoke,[ɪˈvəʊk],[ɪˈvok],唤起，引发,
0,09,08,05,4,05,4,0.188728896,exacerbate,[ɪɡˈzæsəbeɪt],[ɪɡˈzæsərbeɪt],使加剧，使恶化,
0,09,08,05,4,06,5,0.413454476,exacting,[ɪɡˈzæktɪŋ],[ɪɡˈzæktɪŋ],严格的，苛求的；费时间心思的,
0,09,08,05,4,07,6,0.638037329,exalt,[ɪgˈzɔːlt],[ɪɡˈzɔlt],赞扬,
0,09,08,05,4,08,7,0.583006487,exasperate,[ɪɡˈzæspəreɪt],[ɪɡˈzæspəreɪt],激怒,
0,09,08,05,4,09,8,0.128875621,excavate,[ˈekskəveɪt],[ˈɛkskəˈvet],挖掘，挖空,
0,09,08,05,4,10,9,0.667567626,exceptional,[ɪkˈsepʃ(ə)n(ə)l],[ɪkˈsɛpʃənl],例外的，特别的，非凡的,
0,09,08,06,5,01,0,0.247327002,excoriate,[ˌeksˈkɔːrieɪt],[ˌeksˈkɔːrieɪt],严厉批评,
0,09,08,06,5,02,1,0.428143678,excrete,[ɪkˈskriːt],[ɪkˈskriːt],排泄,
0,09,08,06,5,03,2,0.893340262,excruciate,[ɪksˈkruːʃɪˌeɪt],[ɪkˈskruːʃɪˌeɪt],折磨，使痛苦,
0,09,08,06,5,04,3,0.332342324,exculpate,[ˈekskʌlpeɪt],[ˈekskʌlpeɪt],声明无罪；开脱，使无罪,
0,09,08,06,5,05,4,0.476844759,excursive,[eksˈkɜːsɪv],[ekˈskɜːsɪv],离题的；散漫的,
0,09,08,06,5,06,5,0.638318608,execrate,[ˈeksɪkreɪt],[ˈeksɪˌkreɪt],痛恨,
0,09,08,06,5,07,6,0.40300246,exemplary,[ɪgˈzemplərɪ],[ɪɡˈzɛmpləri],榜样的，值得效仿的,
0,09,08,06,5,08,7,0.379380158,exempt,[ɪgˈzem(p)t],[ɪgˈzɛmpt],使免除,
0,09,08,06,5,09,8,0.855079424,exhaust,[ɪgˈzɔːst],[ɪɡˈzɔst],耗尽,
0,09,08,06,5,10,9,0.150191972,exhilarate,[ɪɡˈzɪləreɪt],[ɪɡˈzɪləreɪt],使高兴；使兴奋,
0,09,08,07,6,01,0,0.247292503,exhort,[ɪgˈzɔːt],[ɪɡˈzɔrt],敦促，力劝,
0,09,08,07,6,02,1,0.176678304,exigent,[ˈeksɪdʒənt],[ˈeksədʒənt],紧急的,
0,09,08,07,6,03,2,0.608479949,exodus,[ˈeksədəs],[ˈɛksədəs],大批离去,
